cctv_id,detected_time,person_label,gender,age
,2025-02-04 16:24:11,7,female,adult
,2025-02-04 16:24:12,4,female,adult
,2025-02-04 16:24:14,2,male,adult
,2025-02-04 16:24:17,9,male,adult
,2025-02-04 16:24:18,10,female,adult
,2025-02-04 16:36:16,2,female,old
,2025-02-04 16:36:25,4,male,adult
,2025-02-04 16:36:27,3,male,adult
,2025-02-05 11:59:58,1,male,adult
,2025-02-05 12:00:00,2,male,old
,2025-02-05 12:00:01,3,female,adult
,2025-02-05 12:00:02,4,male,adult
,2025-02-05 12:00:03,5,male,adult
,2025-02-05 12:00:04,6,male,adult
,2025-02-05 12:00:06,7,male,adult
,2025-02-05 12:00:07,8,female,adult
,2025-02-05 12:00:09,10,female,adult
,2025-02-05 12:00:11,12,female,adult
,2025-02-05 12:00:12,13,female,adult
,2025-02-05 12:00:14,15,male,adult
,2025-02-05 12:00:17,16,female,adult
,2025-02-05 12:00:19,17,female,old
,2025-02-05 12:00:24,18,female,adult
,2025-02-05 12:00:28,20,female,adult
,2025-02-05 12:00:30,21,female,adult
,2025-02-05 12:04:29,1,male,adult
,2025-02-05 12:04:30,2,male,old
,2025-02-05 12:04:31,3,female,adult
,2025-02-05 12:04:33,4,male,adult
,2025-02-05 12:04:34,5,male,adult
,2025-02-05 12:04:35,6,male,adult
,2025-02-05 12:04:36,7,male,adult
,2025-02-05 12:04:37,8,female,adult
,2025-02-05 12:04:39,10,female,adult
,2025-02-05 12:04:40,12,female,adult
,2025-02-05 12:04:41,13,female,adult
,2025-02-05 12:04:44,15,male,adult
,2025-02-05 12:04:46,16,male,adult
,2025-02-05 12:04:48,17,female,old
,2025-02-05 12:04:53,18,female,adult
,2025-02-05 12:04:56,20,female,adult
,2025-02-05 12:05:10,1,male,adult
,2025-02-05 12:05:11,2,male,old
,2025-02-05 12:05:13,3,female,adult
,2025-02-05 12:05:14,4,male,adult
,2025-02-05 12:05:15,5,male,adult
,2025-02-05 12:05:16,6,male,adult
,2025-02-05 12:05:17,7,male,adult
,2025-02-05 12:05:19,8,female,adult
,2025-02-05 12:05:20,10,female,adult
,2025-02-05 12:05:21,12,female,adult
,2025-02-05 12:10:30,1,male,adult
,2025-02-05 12:10:31,2,male,old
,2025-02-05 12:10:32,3,female,adult
,2025-02-05 12:10:33,4,male,adult
,2025-02-05 12:10:34,5,male,adult
,2025-02-05 12:10:35,6,male,adult
,2025-02-05 12:10:36,7,male,adult
,2025-02-05 12:10:38,8,female,adult
,2025-02-05 12:10:39,10,female,adult
,2025-02-05 12:10:41,12,female,adult
,2025-02-05 12:10:42,13,female,adult
,2025-02-05 12:16:04,1,male,adult
,2025-02-05 12:16:05,2,male,old
,2025-02-05 12:16:06,3,female,adult
,2025-02-05 12:16:07,4,male,adult
,2025-02-05 12:16:09,5,male,adult
,2025-02-05 12:16:10,6,male,adult
,2025-02-05 12:16:12,7,male,adult
,2025-02-05 12:16:13,8,female,adult
,2025-02-05 12:16:14,10,female,adult
,2025-02-05 12:18:37,5,male,adult
,2025-02-05 12:18:37,4,male,adult
,2025-02-05 12:18:37,7,male,adult
,2025-02-05 12:18:37,2,male,old
,2025-02-05 12:18:37,3,female,adult
,2025-02-05 12:18:37,1,male,adult
,2025-02-05 12:18:37,6,male,adult
,2025-02-05 12:18:37,8,female,adult
,2025-02-05 12:18:38,10,female,adult
,2025-02-05 12:18:38,12,female,adult
,2025-02-05 12:18:39,13,female,adult
,2025-02-05 12:18:40,15,male,adult
,2025-02-05 12:18:41,16,male,adult
,2025-02-05 12:18:43,17,female,old
,2025-02-05 12:18:47,18,female,adult
,2025-02-05 12:18:49,20,female,adult
,2025-02-05 12:18:51,21,female,adult
